,fitness_score iteration score
0,3.190313738075729
1,2.6005820396737604
2,2.4512321772422205
3,2.4232054062687536
4,2.4072474031348032
5,2.3986924202714843
6,2.3961790785846153
7,2.3621814037287128
8,2.3680869688192594
9,2.34407125055126
10,2.3224918882356365
11,2.3046319326388938
12,2.3023662923424117
13,2.2683691452857913
14,2.2033518513486494
15,2.0880399625284247
16,1.8780895227501917
17,1.6220943678805648
18,1.3838594942529525
19,1.2048275618537048
20,1.0048146516229521
21,0.9534769176623146
22,0.9303930135137934
23,0.9242610343417009
24,0.9241731599133876
25,0.9241731599133876
26,0.9241731599133876
27,0.9241731599133876
28,0.9241731599133876
29,0.9241731599133876
30,0.9241731599133876
31,0.9241731599133876
32,0.9241731599133876
33,0.9241731599133876
34,0.9241731599133876
35,0.9241731599133876
